,ulica,numer,nr_lokalu,powierzchnia_uzyt,liczba_pokoi,piętro,lok_cena_brutto,cena_za_m2,srednia_budynek,srednia_cena_ulica,srednia_cena_dzielnica,near_100,near_300,near_500,dist_centrum,dzielnica,coordinates,rodzaj_rynku,data,rok
1694,JANA KANTEGO FEDEROWICZA,23,3_LOK,55.73,3.0,1.0,825000,14804,14946,14922,14775,13812,15017,15201,6836,Dzielnica VIII Dębniki,"(50.01369843076838, 19.880113018402007)",pierwotny,2025-10-01,2025
1695,ESTERY,3,1003_LOK,32.1,1.0,3.0,930000,28972,20867,20385,19904,16555,18081,18837,1151,Dzielnica I Stare Miasto,"(50.05236512199816, 19.944712441965)",wtorny,2025-07-05,2025
1696,JÓZEFA DIETLA,51,20_LOK,17.36,1.0,2.0,277000,15956,17272,17489,19904,17272,19021,18802,1086,Dzielnica I Stare Miasto,"(50.05262409936187, 19.94298648585559)",wtorny,2025-06-23,2025
1697,JANA KANTEGO FEDEROWICZA,23,13_LOK,34.06,2.0,2.0,522651,15345,14946,14922,14775,13812,15017,15201,6836,Dzielnica VIII Dębniki,"(50.01369843076838, 19.880113018402007)",pierwotny,2025-06-04,2025
1698,DO WILGI,22,58_LOK,41.31,3.0,2.0,570000,13798,13913,17476,14142,14933,13954,14515,4304,Dzielnica IX Łagiewniki-Borek Fałęcki,"(50.02393343459895, 19.928666381950276)",wtorny,2025-06-26,2025
1699,KROWODERSKA,40B,20_LOK,38.56,2.0,3.0,659376,17100,20000,17730,19904,19940,16530,17241,950,Dzielnica I Stare Miasto,"(50.06999046087585, 19.934114907829503)",pierwotny,2024-03-28,2024
1700,PŁK. PIL. STEFANA ŁASZKIEWICZA,8B,122_LOK,65.99,3.0,3.0,785244,11899,12849,12807,14766,18126,16300,17036,2948,Dzielnica III Prądnik Czerwony,"(50.06905351082845, 19.97882971056937)",pierwotny,2024-04-12,2024
1701,SIKORKI,14,1_LOK,73.61,4.0,1.0,929000,12621,14935,15429,13985,17209,15341,15114,5460,Dzielnica XIV Czyżyny,"(50.06233229398721, 20.015377824885427)",wtorny,2024-03-13,2024
1702,PŁK. PIL. STEFANA ŁASZKIEWICZA,8B,65_LOK,39.12,2.0,2.0,522247,13350,12849,12807,14766,18126,16300,17036,2948,Dzielnica III Prądnik Czerwony,"(50.06905351082845, 19.97882971056937)",pierwotny,2024-01-19,2024
1703,ODLEWNICZA,36,B_LOK,152.23,6.0,2.0,1526000,10024,12339,11682,16968,11224,11951,14530,3692,Dzielnica V Krowodrza,"(50.07039653074045, 19.88913555786081)",pierwotny,2024-07-25,2024
