,ulica,numer,nr_lokalu,powierzchnia_uzyt,liczba_pokoi,piętro,lok_cena_brutto,cena_za_m2,srednia_budynek,srednia_cena_ulica,srednia_cena_dzielnica,near_100,near_300,near_500,dist_centrum,dzielnica,coordinates,rodzaj_rynku,data,rok
0,TYNIECKA,167N,2_LOK,81.25,4.0,1.0,820348,10097,11656,12421,14775,11184,12241,12056,7566,Dzielnica VIII Dębniki,"(50.02630093399495, 19.8491544711459)",pierwotny,2025-03-27,2025
1,POD STOKIEM,39,7_LOK,47.81,3.0,5.0,579120,12113,12107,11745,18963,11747,16577,15395,6330,Dzielnica VII Zwierzyniec,"(50.07159684384978, 19.851864404616457)",wtorny,2024-08-01,2024
2,SZASERÓW,11,1_LOK,132.82,6.0,1.0,1970000,14832,16209,17586,18963,16209,15857,15857,8229,Dzielnica VII Zwierzyniec,"(50.075006933676256, 19.82583757580098)",pierwotny,2025-10-24,2025
3,POWSTANIA STYCZNIOWEGO,2CA,2_LOK,90.18,4.0,1.0,1430000,15857,16893,17928,18963,16893,14832,14832,8006,Dzielnica VII Zwierzyniec,"(50.07480316242564, 19.828947737144066)",wtorny,2024-04-22,2024
4,TYNIECKA,167K,1_LOK,81.51,4.0,1.0,945783,11603,11585,12421,14775,10883,11990,11919,7554,Dzielnica VIII Dębniki,"(50.026715468663554, 19.848950508819062)",pierwotny,2025-07-24,2025
5,TYNIECKA,195A,1_LOK,60.49,3.0,1.0,678878,11223,12407,12421,14775,11530,13029,12195,7945,Dzielnica VIII Dębniki,"(50.02587313528822, 19.84337479052566)",pierwotny,2024-11-29,2024
6,TYNIECKA,167K,2_LOK,81.58,4.0,1.0,943583,11566,11585,12421,14775,10883,11990,11919,7554,Dzielnica VIII Dębniki,"(50.026715468663554, 19.848950508819062)",pierwotny,2025-09-19,2025
7,TYNIECKA,171B,2_LOK,67.02,4.0,2.0,1174500,17525,16608,12421,14775,16608,11183,11183,7758,Dzielnica VIII Dębniki,"(50.02684466334809, 19.8455120065747)",wtorny,2024-01-08,2024
8,TYNIECKA,195B,1_LOK,59.98,3.0,1.0,700000,11671,11626,12421,14775,11381,12917,12154,7923,Dzielnica VIII Dębniki,"(50.02584315582265, 19.843752813666313)",pierwotny,2024-11-28,2024
9,CHEŁMSKA,41G,2_LOK,73.28,3.0,1.0,1120000,15284,16510,16676,18963,16510,16510,16510,7058,Dzielnica VII Zwierzyniec,"(50.06287699970743, 19.84045213186028)",wtorny,2024-10-18,2024
10,CHEŁMSKA,6,9_LOK,51.89,3.0,1.0,736139,14187,15782,16676,18963,15782,16915,15122,6418,Dzielnica VII Zwierzyniec,"(50.067846891016465, 19.84983176174497)",pierwotny,2024-02-15,2024
11,NIEZAPOMINAJEK,3,14_LOK,75.92,3.0,2.0,970000,12777,13290,14390,18963,10917,10917,15209,6742,Dzielnica VII Zwierzyniec,"(50.06850977785491, 19.845386174672832)",wtorny,2024-03-28,2024
12,OLSZANICKA,9K,1_LOK,81.25,3.0,1.0,1300000,16000,16988,15402,18963,15252,15252,14117,7120,Dzielnica VII Zwierzyniec,"(50.06833606208606, 19.840051516301415)",wtorny,2024-01-18,2024
13,TYNIECKA,195C,1_LOK,59.97,3.0,1.0,679970,11339,11076,12421,14775,11492,13000,12185,7930,Dzielnica VIII Dębniki,"(50.02578577143242, 19.843700128109656)",pierwotny,2024-11-19,2024
14,TYNIECKA,167S,1_LOK,81.01,4.0,1.0,867583,10710,11071,12421,14775,11061,12313,12000,7544,Dzielnica VIII Dębniki,"(50.0262565693693, 19.849554259215264)",pierwotny,2025-04-10,2025
15,TYNIECKA,154H,2_LOK,124.89,6.0,1.0,2000000,16014,15601,12421,14775,15601,10635,11290,8202,Dzielnica VIII Dębniki,"(50.027842477219394, 19.837577243820313)",wtorny,2025-07-25,2025
16,CHEŁMSKA,6,4_LOK,58.24,3.0,2.0,910000,15625,15782,16676,18963,15782,16915,15122,6418,Dzielnica VII Zwierzyniec,"(50.067846891016465, 19.84983176174497)",pierwotny,2024-12-27,2024
17,OLSZANICKA,9J,1_LOK,69.81,2.0,1.0,1080000,15471,16635,15402,18963,15384,15384,14205,7114,Dzielnica VII Zwierzyniec,"(50.06833306444946, 19.840131507874464)",wtorny,2024-08-27,2024
18,CHEŁMSKA,6,15_LOK,92.02,3.0,3.0,1613500,17534,15782,16676,18963,15782,16915,15122,6418,Dzielnica VII Zwierzyniec,"(50.067846891016465, 19.84983176174497)",wtorny,2025-12-29,2025
19,WIELOGÓRSKA,"72H,72J",1001_LOK,97.25,4.0,1.0,1150000,11825,11943,13359,14775,11943,11943,11943,10749,Dzielnica VIII Dębniki,"(49.999691270966935, 19.824359922849787)",wtorny,2024-02-13,2024
20,WIELOGÓRSKA,"72H,72J",1001_LOK,97.25,4.0,1.0,1173000,12062,11943,13359,14775,11943,11943,11943,10749,Dzielnica VIII Dębniki,"(49.999691270966935, 19.824359922849787)",wtorny,2025-12-19,2025
21,BOGUCIANKA,78B,1000_LOK,101.93,6.0,1.0,1145000,11233,12414,13595,14775,12414,12414,12414,10791,Dzielnica VIII Dębniki,"(50.008481768048505, 19.813408915308845)",pierwotny,2024-05-22,2024
22,NIEZAPOMINAJEK,3,16_LOK,75.61,3.0,3.0,970000,12829,13290,14390,18963,10917,10917,15209,6742,Dzielnica VII Zwierzyniec,"(50.06850977785491, 19.845386174672832)",wtorny,2025-06-04,2025
23,JUNACKA,12C,4_LOK,56.3,3.0,2.0,1105000,19627,19406,19185,18963,19406,14187,15305,6478,Dzielnica VII Zwierzyniec,"(50.066804932552344, 19.848847569434724)",wtorny,2025-01-31,2025
24,POD STOKIEM,39,5_LOK,78.08,4.0,4.0,944880,12101,12107,11745,18963,11747,16577,15395,6330,Dzielnica VII Zwierzyniec,"(50.07159684384978, 19.851864404616457)",wtorny,2024-08-01,2024
25,PODŁUŻNA,40E,2_LOK,67.54,3.0,1.0,1327133,19650,19421,19192,18963,19421,11869,14628,6532,Dzielnica VII Zwierzyniec,"(50.0725109671969, 19.84924456659962)",pierwotny,2025-06-04,2025
26,NIEZAPOMINAJEK,5,10_LOK,74.01,3.0,4.0,808000,10917,13599,14390,18963,12777,15132,15450,6812,Dzielnica VII Zwierzyniec,"(50.068671357848295, 19.844434564703917)",wtorny,2025-04-02,2025
27,POD STOKIEM,39F,B_LOK,69.2,3.0,2.0,849000,12269,14500,11745,18963,11670,16551,15735,6340,Dzielnica VII Zwierzyniec,"(50.07089403479772, 19.85153659144334)",pierwotny,2024-02-29,2024
28,TYNIECKA,167P,1_LOK,81.36,4.0,1.0,867583,10664,12034,12421,14775,11070,12319,12005,7548,Dzielnica VIII Dębniki,"(50.02640937310447, 19.84935269378186)",pierwotny,2025-03-25,2025
29,TYNIECKA,167L,2_LOK,81.97,4.0,1.0,945783,11538,12617,12421,14775,10896,12000,11925,7569,Dzielnica VIII Dębniki,"(50.026453978210846, 19.848953047138416)",pierwotny,2025-07-25,2025
30,OLSZANICKA,8C,M3_LOK,49.67,3.0,3.0,795000,16006,16992,15402,18963,15251,14384,14116,7107,Dzielnica VII Zwierzyniec,"(50.068948229872255, 19.840329492574064)",wtorny,2024-09-19,2024
31,POD STOKIEM,39C,A_LOK,64.71,3.0,1.0,726440,11226,11121,11745,18963,12191,16725,15476,6344,Dzielnica VII Zwierzyniec,"(50.071092022904864, 19.85153351097985)",pierwotny,2024-04-15,2024
32,TYNIECKA,167S,2_LOK,81.31,4.0,1.0,929583,11433,11071,12421,14775,11061,12313,12000,7544,Dzielnica VIII Dębniki,"(50.0262565693693, 19.849554259215264)",pierwotny,2025-05-29,2025
33,TYNIECKA,167R,1_LOK,81.42,4.0,1.0,928583,11405,11004,12421,14775,10922,12213,11937,7563,Dzielnica VIII Dębniki,"(50.02614823735834, 19.849356298458673)",pierwotny,2025-05-30,2025
34,OLSZANICKA,8B,M1_LOK,45.67,2.0,1.0,590000,12919,14934,15402,18963,16022,16022,14631,7115,Dzielnica VII Zwierzyniec,"(50.068933412955715, 19.840218349082594)",pierwotny,2024-02-20,2024
35,TYNIECKA,195C,2_LOK,60.11,3.0,1.0,650000,10814,11076,12421,14775,11492,13000,12185,7930,Dzielnica VIII Dębniki,"(50.02578577143242, 19.843700128109656)",pierwotny,2024-10-28,2024
36,TYNIECKA,195,2_LOK,59.79,3.0,2.0,692514,11582,11546,12421,14775,11411,12939,12162,7938,Dzielnica VIII Dębniki,"(50.02593068790604, 19.843427397877257)",pierwotny,2024-11-05,2024
37,OLSZANICKA,8E,3_LOK,49.66,3.0,3.0,825000,16613,17396,15402,18963,15099,14262,14015,7084,Dzielnica VII Zwierzyniec,"(50.068992569219525, 19.84066087765694)",wtorny,2025-07-01,2025
38,TYNIECKA,154L,1_LOK,123.46,6.0,1.0,1312996,10635,12015,12421,14775,12015,16014,16014,8219,Dzielnica VIII Dębniki,"(50.028581251921445, 19.836704356676663)",pierwotny,2024-05-22,2024
39,NIEZAPOMINAJEK,3,1_LOK,104.45,5.0,1.0,1490000,14265,13290,14390,18963,10917,10917,15209,6742,Dzielnica VII Zwierzyniec,"(50.06850977785491, 19.845386174672832)",wtorny,2024-03-05,2024
40,TYNIECKA,195,1_LOK,60.59,3.0,1.0,697389,11510,11546,12421,14775,11411,12939,12162,7938,Dzielnica VIII Dębniki,"(50.02593068790604, 19.843427397877257)",pierwotny,2024-11-04,2024
41,TYNIECKA,167R,2_LOK,81.82,4.0,1.0,867583,10604,11004,12421,14775,10922,12213,11937,7563,Dzielnica VIII Dębniki,"(50.02614823735834, 19.849356298458673)",pierwotny,2025-03-31,2025
42,WIOSENNA,6m,4_LOK,184.88,5.0,1.0,2800000,15145,16418,17838,18963,16418,15277,15900,6284,Dzielnica VII Zwierzyniec,"(50.06899140910338, 19.85191397149188)",wtorny,2025-02-05,2025
43,TYNIECKA,195B,2_LOK,59.84,3.0,1.0,693093,11582,11626,12421,14775,11381,12917,12154,7923,Dzielnica VIII Dębniki,"(50.02584315582265, 19.843752813666313)",pierwotny,2024-10-28,2024
44,POD STOKIEM,39C,B_LOK,68.29,3.0,2.0,752264,11016,11121,11745,18963,12191,16725,15476,6344,Dzielnica VII Zwierzyniec,"(50.071092022904864, 19.85153351097985)",pierwotny,2024-04-15,2024
45,GROMADZKA,91,4_LOK,15.67,1.0,2.0,274225,17500,17500,16792,14979,17139,16440,15656,3889,Dzielnica XIII Podgórze,"(50.03663131372032, 19.97638085905604)",wtorny,2024-11-27,2024
46,OSIEDLE SZKOLNE,2,13_LOK,44.42,2.0,5.0,560000,12607,13381,12972,12842,11627,13146,12972,7852,Dzielnica XVIII Nowa Huta,"(50.07571096964881, 20.046756429095073)",wtorny,2024-11-20,2024
47,BRONOWICKA,23,11_LOK,43.39,3.0,5.0,560000,12906,12711,14471,14996,15754,15276,15594,3071,Dzielnica VI Bronowice,"(50.07720315632105, 19.90316738180927)",wtorny,2024-11-08,2024
48,ROZDROŻE,17b,40_LOK,49.66,3.0,2.0,680000,13693,14209,15124,14775,20120,16019,16923,2593,Dzielnica VIII Dębniki,"(50.03986892954752, 19.927936379259293)",wtorny,2024-10-18,2024
49,SZLAK,50,36_LOK,56.32,2.0,3.0,1450000,25746,23102,20323,19904,23102,17258,18179,1060,Dzielnica I Stare Miasto,"(50.07097393901159, 19.944380908869633)",wtorny,2024-10-07,2024
50,OBOŹNA,13a,18_LOK,40.17,2.0,5.0,590000,14688,15181,14805,16968,14704,15713,16801,1964,Dzielnica V Krowodrza,"(50.07823404188633, 19.928011105190706)",wtorny,2024-03-29,2024
51,WROCŁAWSKA,53,53_LOK,29.8,1.0,1.0,627800,21067,18696,19264,16968,20467,17916,17486,2266,Dzielnica V Krowodrza,"(50.07961614917654, 19.922974825737906)",wtorny,2024-09-16,2024
52,WROCŁAWSKA,53A,53A_27_LOK,36.74,2.0,4.0,749710,20406,20633,19264,16968,20402,18149,16899,2265,Dzielnica V Krowodrza,"(50.07991343353315, 19.9238021748057)",wtorny,2024-09-06,2024
53,OSIEDLE SZKOLNE,1,49_LOK,69.34,4.0,6.0,800000,11537,12193,12972,12842,11175,12998,12924,7895,Dzielnica XVIII Nowa Huta,"(50.07524461563125, 20.047503580857953)",wtorny,2024-09-16,2024
54,ANNY SZWED-ŚNIADOWSKIEJ,46,42_LOK,43.75,3.0,2.0,665000,15200,13888,13647,14775,13995,13277,13593,7956,Dzielnica VIII Dębniki,"(49.99586712203543, 19.896852764873863)",wtorny,2024-09-02,2024
55,CZARODZIEJSKA,15,M8_LOK,132.35,5.0,3.0,1900000,14356,14496,29139,14775,14496,33134,20268,2285,Dzielnica VIII Dębniki,"(50.05008301922348, 19.913146094711763)",wtorny,2024-07-29,2024
56,TADEUSZA SZAFRANA,5A,112_LOK,43.47,2.0,6.0,785000,18058,18680,17324,14979,17156,16387,16472,3114,Dzielnica XIII Podgórze,"(50.03433479950887, 19.9329031482157)",wtorny,2024-07-29,2024
57,WALEREGO SŁAWKA,9,108_LOK,30.74,1.0,6.0,425581,13845,13261,13970,13370,17813,15469,14910,4385,Dzielnica XI Podgórze Duchackie,"(50.02525143306294, 19.961083785146403)",pierwotny,2024-06-27,2024
58,BP. PIOTRA TOMICKIEGO,26,125_LOK,54.09,3.0,4.0,875000,16177,16194,15756,13985,16000,15482,14835,6049,Dzielnica XIV Czyżyny,"(50.0652956536377, 20.023468305968546)",wtorny,2024-08-05,2024
59,GALICYJSKA,3B,235_LOK,60.6,4.0,4.0,940000,15512,15265,15411,13985,13837,15070,14836,4924,Dzielnica XIV Czyżyny,"(50.06220688628852, 20.00789455667586)",wtorny,2024-06-27,2024
60,ERAZMA JERZMANOWSKIEGO,37,86_LOK,36.58,2.0,5.0,515778,14100,12421,12542,13627,12421,13431,14085,7630,Dzielnica XII Biezanow-Prokocim,"(50.011047990710395, 20.010375302964125)",pierwotny,2024-06-24,2024
61,KRAKUSÓW,1A,18_LOK,55.43,4.0,5.0,715000,12899,13598,14297,14996,16700,15103,15366,3288,Dzielnica VI Bronowice,"(50.07856553774004, 19.900940403358486)",wtorny,2024-06-25,2024
62,GRZEGÓRZECKA,69E,24_LOK,46.51,1.0,2.0,702301,15100,17456,17583,17770,23733,21419,18755,1971,Dzielnica II Grzegórzki,"(50.05537243881104, 19.964580135646525)",pierwotny,2024-05-27,2024
63,MYŚLIWSKA,66D,47_LOK,44.17,3.0,6.0,609557,13800,13643,13300,14979,14151,13955,14512,4418,Dzielnica XIII Podgórze,"(50.04723661971507, 19.996358984908376)",pierwotny,2025-12-19,2025
64,PROFESORA MICHAŁA BOBRZYŃSKIEGO,39,54_LOK,45.66,3.0,1.0,690000,15112,14114,14328,14775,13237,14392,14427,5993,Dzielnica VIII Dębniki,"(50.017048676152285, 19.8930101160731)",wtorny,2026-01-29,2026
65,BARBARY,9,31_LOK,70.01,4.0,4.0,1000000,14284,14596,14111,13627,12757,12373,12507,8010,Dzielnica XII Biezanow-Prokocim,"(50.01608484925739, 20.02521416591137)",pierwotny,2025-12-19,2025
66,WITA STWOSZA,20,49_LOK,28.86,1.0,3.0,604303,20939,21257,20320,19904,21469,21249,22018,1408,Dzielnica I Stare Miasto,"(50.072906615742966, 19.949271429518745)",pierwotny,2025-12-19,2025
67,PLAC WOLNICA,14,125_LOK,25.17,1.0,5.0,470000,18673,19083,19945,19904,22272,20121,18958,1583,Dzielnica I Stare Miasto,"(50.04814465236595, 19.943732808639368)",wtorny,2026-01-09,2026
68,SOŁTYSOWSKA,12B,99_LOK,49.58,2.0,5.0,743000,14986,14877,15951,13985,14507,15784,15184,5640,Dzielnica XIV Czyżyny,"(50.063830134873385, 20.01785605322097)",wtorny,2025-12-29,2025
69,WOJCIECHA GERSONA,10,15_LOK,46.9,4.0,4.0,525000,11194,12005,11157,13627,10817,12607,16138,5396,Dzielnica XII Biezanow-Prokocim,"(50.024402524257795, 19.986623272523097)",wtorny,2026-01-28,2026
70,MYŚLIWSKA,66D,45_LOK,65.6,4.0,6.0,833102,12700,13643,13300,14979,14151,13955,14512,4418,Dzielnica XIII Podgórze,"(50.04723661971507, 19.996358984908376)",pierwotny,2025-11-28,2025
71,,1A,41_LOK,25.09,1.0,10.0,513800,20478,18702,16098,14775,14347,14026,14055,3730,Dzielnica VIII Dębniki,"(50.0295711030249, 19.926110644920545)",wtorny,2026-01-05,2026
72,OSIEDLE DYWIZJONU 303,62F,49_LOK,82.19,3.0,7.0,1200000,14600,15484,15039,13985,16156,15115,15410,5544,Dzielnica XIV Czyżyny,"(50.08058510427922, 20.01103630988013)",wtorny,2025-12-10,2025
73,MYŚLIWSKA,66D,110_LOK,44.53,3.0,3.0,646121,14510,13643,13300,14979,14151,13955,14512,4418,Dzielnica XIII Podgórze,"(50.04723661971507, 19.996358984908376)",pierwotny,2025-11-06,2025
74,MYŚLIWSKA,66D,112_LOK,44.26,3.0,3.0,630684,14250,13643,13300,14979,14151,13955,14512,4418,Dzielnica XIII Podgórze,"(50.04723661971507, 19.996358984908376)",pierwotny,2025-11-05,2025
75,MOGILSKA,136,1_LOK,27.1,1.0,3.0,639307,23591,18890,16122,14766,12636,17411,17384,3230,Dzielnica III Prądnik Czerwony,"(50.07095660090782, 19.98206406280509)",pierwotny,2025-12-15,2025
76,JÓZEFA SAREGO,25,5_LOK,102.95,4.0,3.0,1650000,16027,15871,17312,19904,18896,18874,19019,762,Dzielnica I Stare Miasto,"(50.0560208757545, 19.944089606215222)",wtorny,2025-11-13,2025
77,MYŚLIWSKA,66D,35_LOK,53.13,3.0,4.0,711861,13398,13643,13300,14979,14151,13955,14512,4418,Dzielnica XIII Podgórze,"(50.04723661971507, 19.996358984908376)",pierwotny,2025-11-04,2025
78,MOGILSKA,130,82_LOK,51.14,3.0,3.0,646205,12636,15590,16122,14766,23591,16695,17114,3162,Dzielnica III Prądnik Czerwony,"(50.07086780916086, 19.981098534793084)",pierwotny,2025-03-28,2025
79,BRZOZOWA,4,7_LOK,48.62,3.0,2.0,997642,20519,17204,18864,19904,17116,18076,18613,965,Dzielnica I Stare Miasto,"(50.05410693994312, 19.94445413605795)",wtorny,2025-04-04,2025
80,ROMANA CIESIELSKIEGO,8A,5_LOK,44.73,2.0,2.0,561344,12550,12331,11933,13985,12331,15695,15020,5327,Dzielnica XIV Czyżyny,"(50.06175825755868, 20.013519298297133)",pierwotny,2025-03-24,2025
81,ROMANA CIESIELSKIEGO,8A,57_LOK,41.07,2.0,1.0,474339,11550,12331,11933,13985,12331,15695,15020,5327,Dzielnica XIV Czyżyny,"(50.06175825755868, 20.013519298297133)",pierwotny,2025-03-11,2025
82,ROMANA CIESIELSKIEGO,8A,24_LOK,52.59,3.0,3.0,575810,10949,12331,11933,13985,12331,15695,15020,5327,Dzielnica XIV Czyżyny,"(50.06175825755868, 20.013519298297133)",pierwotny,2025-03-12,2025
83,ROMANA CIESIELSKIEGO,8A,102_LOK,64.62,3.0,2.0,741235,11471,12331,11933,13985,12331,15695,15020,5327,Dzielnica XIV Czyżyny,"(50.06175825755868, 20.013519298297133)",pierwotny,2025-03-14,2025
84,MOGILSKA,130,169_LOK,46.55,3.0,5.0,778322,16720,15590,16122,14766,23591,16695,17114,3162,Dzielnica III Prądnik Czerwony,"(50.07086780916086, 19.981098534793084)",pierwotny,2025-02-19,2025
85,ŚW. JANA,13,13_44_LOK,172.07,5.0,5.0,4500000,26152,24069,24671,19904,24069,21317,21040,219,Dzielnica I Stare Miasto,"(50.064005423591105, 19.939658174085345)",wtorny,2025-03-04,2025
86,Al. KIJOWSKA,7,109_LOK,54.23,3.0,8.0,1260000,23234,19440,18490,16968,18596,15045,15150,2058,Dzielnica V Krowodrza,"(50.0706800354295, 19.913615200842234)",wtorny,2025-01-10,2025
87,STUDENCKA,25,28_LOK,20.9,1.0,2.0,645000,30861,26816,24771,19904,20072,20908,20231,759,Dzielnica I Stare Miasto,"(50.062574454452054, 19.928506818780924)",wtorny,2025-02-14,2025
88,MYŚLIWSKA,66E,103_LOK,44.13,2.0,4.0,549599,12454,12627,13300,14979,13800,13887,14431,4412,Dzielnica XIII Podgórze,"(50.04779731672411, 19.9966000162485)",pierwotny,2025-01-22,2025
89,MYŚLIWSKA,66E,50_LOK,56.18,3.0,5.0,607426,10812,12627,13300,14979,13800,13887,14431,4412,Dzielnica XIII Podgórze,"(50.04779731672411, 19.9966000162485)",pierwotny,2025-01-20,2025
90,POZNAŃSKA,10,16_LOK,53.62,3.0,3.0,870000,16225,16276,17655,16968,16287,18101,16519,2245,Dzielnica V Krowodrza,"(50.08046100019244, 19.926114641788296)",wtorny,2025-01-27,2025
91,MIERZEJA WIŚLANA,6B,55_LOK,83.98,4.0,8.0,1123701,13381,15764,15954,14979,14065,16072,16674,5413,Dzielnica XIII Podgórze,"(50.0352010612048, 20.002155697322863)",pierwotny,2024-12-12,2024
92,RAKOWICKA,20L,445_LOK,33.09,1.0,7.0,582091,17591,17147,18228,19904,22818,21451,20438,1236,Dzielnica I Stare Miasto,"(50.07044347758845, 19.950451407350506)",pierwotny,2024-11-27,2024
93,MYŚLIWSKA,55B,149_LOK,46.18,3.0,4.0,469956,10177,11241,13300,14979,16980,14896,15123,4661,Dzielnica XIII Podgórze,"(50.043167337901274, 19.997211298913317)",pierwotny,2024-11-28,2024
94,OBOZOWA,54B,9_LOK,34.32,2.0,2.0,538824,15700,12585,13357,14142,13571,13934,13719,5665,Dzielnica IX Łagiewniki-Borek Fałęcki,"(50.014721021323, 19.909796080124195)",pierwotny,2025-01-14,2025
95,ŚW. KINGI,3,6_LOK,63.79,3.0,3.0,895000,14030,16970,15450,14979,15099,16294,16892,2503,Dzielnica XIII Podgórze,"(50.04389944091715, 19.959742849236555)",wtorny,2025-01-10,2025
96,FILTROWA,4,3_LOK,26.46,2.0,2.0,535000,20219,19448,16699,14996,13459,14946,16276,4735,Dzielnica VI Bronowice,"(50.07802163680432, 19.877712055971838)",wtorny,2025-01-10,2025
97,PRZEWÓZ,38,16_LOK,44.7,2.0,4.0,698000,15615,15309,15072,14979,14212,14846,14588,4608,Dzielnica XIII Podgórze,"(50.04216576636801, 19.99555384832574)",wtorny,2024-12-03,2024
98,MIERZEJA WIŚLANA,6B,56_LOK,98.29,4.0,8.0,1391689,14159,15764,15954,14979,14065,16072,16674,5413,Dzielnica XIII Podgórze,"(50.0352010612048, 20.002155697322863)",pierwotny,2024-12-17,2024
99,WŁOSKA,8,81_LOK,36.67,2.0,6.0,545000,14862,13946,13976,13370,15041,13793,13212,5410,Dzielnica XI Podgórze Duchackie,"(50.01769794122962, 19.9701254539986)",wtorny,2024-11-28,2024
100,MIERZEJA WIŚLANA,6C,1004_LOK,75.91,4.0,3.0,1123512,14801,16152,15954,14979,14065,16072,16674,5413,Dzielnica XIII Podgórze,"(50.0352010612048, 20.002155697322863)",pierwotny,2024-11-29,2024
101,MIERZEJA WIŚLANA,6C,1009_LOK,76.03,4.0,4.0,1135071,14929,16152,15954,14979,14065,16072,16674,5413,Dzielnica XIII Podgórze,"(50.0352010612048, 20.002155697322863)",pierwotny,2024-11-29,2024
102,RAKOWICKA,20L,268_LOK,50.43,1.0,3.0,832576,16510,17147,18228,19904,22818,21451,20438,1236,Dzielnica I Stare Miasto,"(50.07044347758845, 19.950451407350506)",pierwotny,2024-10-23,2024
103,RAKOWICKA,20L,267_LOK,46.06,1.0,3.0,766182,16634,17147,18228,19904,22818,21451,20438,1236,Dzielnica I Stare Miasto,"(50.07044347758845, 19.950451407350506)",pierwotny,2024-10-23,2024
104,BORSUCZA,5,101_LOK,48.15,4.0,10.0,530000,11007,12558,13232,14142,15358,15162,14141,3793,Dzielnica IX Łagiewniki-Borek Fałęcki,"(50.028628305347816, 19.928526617930952)",wtorny,2024-11-07,2024
105,ŚW. SEBASTIANA,31,6_LOK,34.79,2.0,3.0,557900,16036,15999,17353,19904,17228,18111,18549,972,Dzielnica I Stare Miasto,"(50.05427549846694, 19.945233260358123)",wtorny,2024-10-25,2024
106,OSIEDLE KOLOROWE,17a,30_LOK,44.36,3.0,5.0,575000,12962,14831,13181,12842,15295,13156,13468,6321,Dzielnica XVIII Nowa Huta,"(50.074262443749454, 20.02536958704747)",wtorny,2024-08-20,2024
107,GRZEGÓRZECKA,69E,52_LOK,55.97,2.0,4.0,875500,15642,17456,17583,17770,23733,21419,18755,1971,Dzielnica II Grzegórzki,"(50.05537243881104, 19.964580135646525)",pierwotny,2024-07-23,2024
108,TADEUSZA ROMANOWICZA,6B,180_LOK,38.37,2.0,2.0,591300,15410,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
109,TADEUSZA ROMANOWICZA,6B,194_LOK,28.15,1.0,3.0,427350,15181,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
110,TADEUSZA ROMANOWICZA,6B,160_LOK,47.43,2.0,3.0,1445440,30475,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
111,TADEUSZA ROMANOWICZA,6B,158_LOK,40.46,2.0,3.0,1179000,29140,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
112,TADEUSZA ROMANOWICZA,6B,167_LOK,37.29,2.0,1.0,575400,15430,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
113,TADEUSZA ROMANOWICZA,6B,147_LOK,47.77,2.0,2.0,685160,14343,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
114,TADEUSZA ROMANOWICZA,6B,124_LOK,26.34,1.0,1.0,375620,14260,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
115,TADEUSZA ROMANOWICZA,6B,128_LOK,34.66,1.0,1.0,491820,14190,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
116,TADEUSZA ROMANOWICZA,6B,182_LOK,37.34,2.0,2.0,573450,15358,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
117,TADEUSZA ROMANOWICZA,6B,175_LOK,34.77,1.0,1.0,531900,15298,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
118,TADEUSZA ROMANOWICZA,6B,201_LOK,55.77,3.0,3.0,866850,15543,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
119,TADEUSZA ROMANOWICZA,6B,190_LOK,47.21,2.0,2.0,723900,15334,17717,17076,14979,17717,17490,17416,2481,Dzielnica XIII Podgórze,"(50.04660529725879, 19.964078427868063)",pierwotny,2024-07-26,2024
120,GRZEGÓRZECKA,69E,48_LOK,50.0,2.0,4.0,775000,15500,17456,17583,17770,23733,21419,18755,1971,Dzielnica II Grzegórzki,"(50.05537243881104, 19.964580135646525)",pierwotny,2024-07-15,2024
121,LEONIDA TELIGI,20,36_LOK,56.67,5.0,3.0,600000,10588,11512,13483,13627,13464,13629,13831,7102,Dzielnica XII Biezanow-Prokocim,"(50.01571259175643, 20.007338196552638)",wtorny,2024-07-01,2024
